OrderID,OrderDate,ShipDate,CustomerID,ProductID,Quantity,Sales,Discount,Profit,Region
CA-2016-152156,11-08-2016,11-11-2016,CG-12520,FUR-BO-10001798,2,262,0.00,42,South
CA-2016-152156,11-08-2016,11-11-2016,CG-12520,FUR-CH-10000454,3,732,0.00,220,South
CA-2016-138688,06-12-2016,16-06-2016,DV-13045,OFF-LA-10000240,2,15,0.00,7,West
US-2015-108966,10-11-2015,18-10-2015,SO-20335,FUR-TA-10000577,5,958,0.45,-383,South
US-2015-108966,10-11-2015,18-10-2015,SO-20335,OFF-ST-10000760,2,22,0.20,3,South
CA-2014-115812,06-09-2014,14-06-2014,BH-11710,FUR-FU-10001487,7,49,0.00,14,West
CA-2014-115812,06-09-2014,14-06-2014,BH-11710,OFF-AR-10002833,4,7,0.00,2,West
CA-2014-115812,06-09-2014,14-06-2014,BH-11710,TEC-PH-10002275,6,907,0.20,91,West
CA-2014-115812,06-09-2014,14-06-2014,BH-11710,OFF-BI-10003910,3,19,0.20,6,West
CA-2014-115812,06-09-2014,14-06-2014,BH-11710,OFF-AP-10002892,5,115,0.00,34,West
CA-2014-115812,06-09-2014,14-06-2014,BH-11710,FUR-TA-10001539,9,1706,0.20,85,West
CA-2014-115812,06-09-2014,14-06-2014,BH-11710,TEC-PH-10002033,4,911,0.20,68,West
CA-2017-114412,15-04-2017,20-04-2017,AA-10480,OFF-PA-10002365,3,16,0.20,5,South
CA-2016-161389,12-05-2016,12-10-2016,IM-15070,OFF-BI-10003656,3,408,0.20,133,West
US-2015-118983,22-11-2015,26-11-2015,HP-14815,OFF-AP-10002311,5,69,0.80,-124,Central
US-2015-118983,22-11-2015,26-11-2015,HP-14815,OFF-BI-10000756,3,3,0.80,-4,Central
CA-2014-105893,11-11-2014,18-11-2014,PK-19075,OFF-ST-10004186,6,666,0.00,13,Central
CA-2014-167164,13-05-2014,15-05-2014,AG-10270,OFF-ST-10000107,2,56,0.00,10,West
CA-2014-143336,27-08-2014,09-01-2014,ZD-21925,OFF-AR-10003056,2,9,0.00,2,West
CA-2014-143336,27-08-2014,09-01-2014,ZD-21925,TEC-PH-10001949,3,213,0.20,16,West
CA-2014-143336,27-08-2014,09-01-2014,ZD-21925,OFF-BI-10002215,4,23,0.20,7,West
CA-2016-137330,12-09-2016,13-12-2016,KB-16585,OFF-AR-10000246,7,19,0.00,5,Central
CA-2016-137330,12-09-2016,13-12-2016,KB-16585,OFF-AP-10001492,7,60,0.00,16,Central
US-2017-156909,16-07-2017,18-07-2017,SF-20065,FUR-CH-10002774,2,71,0.30,-1,East
CA-2015-106320,25-09-2015,30-09-2015,EB-13870,FUR-TA-10000577,3,1045,0.00,240,West
CA-2016-121755,16-01-2016,20-01-2016,EH-13945,OFF-BI-10001634,2,12,0.20,4,West
CA-2016-121755,16-01-2016,20-01-2016,EH-13945,TEC-AC-10003027,3,91,0.00,12,West
US-2015-150630,17-09-2015,21-09-2015,TB-21520,FUR-BO-10004834,7,3083,0.50,-1665,East
US-2015-150630,17-09-2015,21-09-2015,TB-21520,OFF-BI-10000474,2,10,0.70,-7,East
US-2015-150630,17-09-2015,21-09-2015,TB-21520,FUR-FU-10004848,3,124,0.20,16,East
US-2015-150630,17-09-2015,21-09-2015,TB-21520,OFF-EN-10001509,2,3,0.20,1,East
US-2015-150630,17-09-2015,21-09-2015,TB-21520,OFF-AR-10004042,6,86,0.20,10,East
US-2015-150630,17-09-2015,21-09-2015,TB-21520,OFF-BI-10001525,6,7,0.70,-6,East
US-2015-150630,17-09-2015,21-09-2015,TB-21520,OFF-AR-10001683,2,16,0.20,4,East
CA-2017-107727,19-10-2017,23-10-2017,MA-17560,OFF-PA-10000249,3,29,0.20,10,Central
CA-2016-117590,12-08-2016,12-10-2016,GH-14485,TEC-PH-10004977,7,1098,0.20,123,Central
CA-2016-117590,12-08-2016,12-10-2016,GH-14485,FUR-FU-10003664,5,191,0.60,-148,Central
CA-2015-117415,27-12-2015,31-12-2015,SN-20710,OFF-EN-10002986,9,113,0.20,35,Central
CA-2015-117415,27-12-2015,31-12-2015,SN-20710,FUR-BO-10002545,3,532,0.32,-47,Central
CA-2015-117415,27-12-2015,31-12-2015,SN-20710,FUR-CH-10004218,3,212,0.30,-15,Central
CA-2015-117415,27-12-2015,31-12-2015,SN-20710,TEC-PH-10000486,4,371,0.20,42,Central
CA-2017-120999,09-10-2017,15-09-2017,LC-16930,TEC-PH-10004093,4,147,0.20,17,Central
CA-2016-101343,17-07-2016,22-07-2016,RA-19885,OFF-ST-10003479,2,78,0.00,4,West
CA-2017-139619,19-09-2017,23-09-2017,ES-14080,OFF-ST-10003282,2,96,0.20,10,South
CA-2016-118255,03-11-2016,13-03-2016,ON-18715,TEC-AC-10000171,2,46,0.00,20,Central
CA-2016-118255,03-11-2016,13-03-2016,ON-18715,OFF-BI-10003291,2,17,0.00,8,Central
CA-2014-146703,20-10-2014,25-10-2014,PO-18865,OFF-ST-10001713,4,212,0.00,8,Central
CA-2016-169194,20-06-2016,25-06-2016,LH-16900,TEC-AC-10002167,3,45,0.00,5,East
CA-2016-169194,20-06-2016,25-06-2016,LH-16900,TEC-PH-10003988,2,22,0.00,6,East
CA-2015-115742,18-04-2015,22-04-2015,DP-13000,OFF-BI-10004410,6,38,0.00,18,Central
CA-2015-115742,18-04-2015,22-04-2015,DP-13000,OFF-LA-10002762,6,75,0.00,35,Central
CA-2015-115742,18-04-2015,22-04-2015,DP-13000,FUR-FU-10001706,2,6,0.00,3,Central
CA-2015-115742,18-04-2015,22-04-2015,DP-13000,FUR-CH-10003061,1,90,0.00,17,Central
CA-2016-105816,12-11-2016,17-12-2016,JM-15265,OFF-FA-10000304,7,15,0.00,6,East
CA-2016-105816,12-11-2016,17-12-2016,JM-15265,TEC-PH-10002447,5,1030,0.00,299,East
CA-2016-111682,17-06-2016,18-06-2016,TB-21055,OFF-ST-10000604,6,209,0.00,52,East
CA-2016-111682,17-06-2016,18-06-2016,TB-21055,OFF-PA-10001569,5,32,0.00,16,East
CA-2016-111682,17-06-2016,18-06-2016,TB-21055,FUR-CH-10003968,5,319,0.10,7,East
CA-2016-111682,17-06-2016,18-06-2016,TB-21055,OFF-PA-10000587,2,15,0.00,7,East
CA-2016-111682,17-06-2016,18-06-2016,TB-21055,TEC-AC-10002167,2,30,0.00,3,East
CA-2016-111682,17-06-2016,18-06-2016,TB-21055,OFF-BI-10001460,4,48,0.20,16,East
CA-2016-111682,17-06-2016,18-06-2016,TB-21055,OFF-AR-10001868,1,2,0.00,1,East
CA-2015-135545,24-11-2015,30-11-2015,KM-16720,TEC-AC-10004633,2,14,0.00,6,West
CA-2015-135545,24-11-2015,30-11-2015,KM-16720,OFF-BI-10001078,6,26,0.20,9,West
CA-2015-135545,24-11-2015,30-11-2015,KM-16720,OFF-PA-10003892,3,147,0.00,69,West
CA-2015-135545,24-11-2015,30-11-2015,KM-16720,FUR-FU-10000397,4,80,0.00,22,West
US-2015-164175,30-04-2015,05-05-2015,PS-18970,FUR-CH-10001146,5,213,0.30,-15,Central
CA-2014-106376,12-05-2014,12-10-2014,BS-11590,OFF-AR-10002671,8,1113,0.20,111,West
CA-2014-106376,12-05-2014,12-10-2014,BS-11590,TEC-PH-10002726,4,168,0.20,63,West
